avg_rating,median_rating,rating_std,num_ratings,rating_distribution,vader_compound_mean,vader_compound_std,vader_positive_mean,vader_negative_mean,vader_neutral_mean,textblob_polarity_mean,textblob_polarity_std,num_reviews_with_text,title,rotten_tomatoes_slug
2.2,2.25,1.4177446878757827,20,"{""1.0"": 2, ""0.5"": 5, ""3.5"": 2, ""1.5"": 2, ""3.0"": 3, ""5.0"": 1, ""4.5"": 1, ""2.5"": 2, ""2.0"": 1, ""4.0"": 1}",0.13687,0.6624072433933674,0.15125,0.13610000000000003,0.7127000000000001,-0.11427960178911264,0.3895453282660238,20,Green Lantern,green_lantern
3.725,3.75,1.336740438529485,20,"{""3.5"": 2, ""2.5"": 2, ""3.0"": 3, ""5.0"": 9, ""2.0"": 2, ""4.0"": 1, ""0.5"": 1}",0.1466,0.657432088508007,0.17659999999999998,0.10364999999999999,0.7195999999999999,0.1507468215450477,0.24708320156658797,20,Kate,kate_2021
3.25,3.5,1.5612494995995996,20,"{""5.0"": 4, ""3.5"": 5, ""1.5"": 1, ""4.0"": 3, ""1.0"": 1, ""0.5"": 3, ""2.5"": 1, ""4.5"": 2}",0.24509999999999996,0.6509989239622442,0.16515,0.09775,0.73725,0.13372571163054117,0.2691364147490729,20,In Time,we_live_in_time
2.0,1.5,1.5652475842498528,20,"{""0.5"": 5, ""2.0"": 4, ""1.0"": 4, ""5.0"": 3, ""1.5"": 2, ""3.5"": 1, ""4.0"": 1}",0.16864500000000002,0.5635330242984878,0.12809999999999996,0.11540000000000002,0.7565500000000001,0.0397594246031746,0.3041863294005364,20,Noah,noah_2014
3.75,4.25,1.4274102423620199,20,"{""0.5"": 1, ""1.0"": 1, ""5.0"": 9, ""2.0"": 2, ""3.5"": 2, ""3.0"": 3, ""4.0"": 1, ""4.5"": 1}",0.641865,0.5477904976129103,0.3278499999999999,0.06584999999999999,0.6063500000000001,0.2192687935906686,0.32586856187804836,20,Monte Carlo,monte_carlo_2011
3.9,4.0,1.0440306508910548,20,"{""4.5"": 2, ""5.0"": 5, ""3.5"": 4, ""4.0"": 6, ""3.0"": 1, ""2.5"": 1, ""0.5"": 1}",0.50847,0.410252290791898,0.19415000000000002,0.0517,0.7542,0.240368272005772,0.20145692323051773,20,Schumacher,schumacher
4.6,5.0,0.874642784226795,20,"{""5.0"": 15, ""4.0"": 2, ""3.0"": 1, ""1.5"": 1, ""4.5"": 1}",0.27242500000000003,0.6832580360851968,0.18280000000000002,0.1052,0.71195,0.2614638721067292,0.2924834675922399,20,Man on Fire,man_on_fire
2.75,2.5,1.355544171172596,20,"{""2.0"": 5, ""5.0"": 2, ""0.5"": 1, ""1.5"": 2, ""3.0"": 3, ""4.0"": 4, ""4.5"": 1, ""1.0"": 2}",0.04894499999999999,0.7024826698752077,0.1356,0.13875,0.7256499999999999,0.052860108347396496,0.27225593253997193,20,The Marksman,the_marksman_2021
3.95,4.0,0.7729812416870153,20,"{""5.0"": 6, ""4.0"": 5, ""3.5"": 4, ""3.0"": 5}",0.45602500000000007,0.46155754448930847,0.20074999999999998,0.08835,0.7108,0.1611246555879708,0.16849477056836498,20,Nightbooks,nightbooks
3.45,3.5,0.9473647660748208,20,"{""2.5"": 2, ""3.5"": 2, ""4.0"": 6, ""2.0"": 3, ""3.0"": 4, ""5.0"": 3}",0.44033999999999995,0.5120703256389693,0.194,0.09925000000000002,0.7067,0.19232387005588872,0.32412922721549875,20,The Equalizer 2,equalizer_2
2.2916666666666665,2.0,1.4062114192238504,12,"{""1.5"": 3, ""4.0"": 1, ""0.5"": 3, ""4.5"": 1, ""3.5"": 3, ""2.5"": 1}",0.39396666666666663,0.6295659395347101,0.19858333333333336,0.08241666666666667,0.7190833333333334,0.24683933990833465,0.2380176523295876,12,Firedrake the Silver Dragon,firedrake_the_silver_dragon
4.111111111111111,5.0,1.3494397557212354,18,"{""5.0"": 12, ""2.5"": 2, ""3.5"": 1, ""1.0"": 1, ""3.0"": 1, ""1.5"": 1}",0.5239055555555555,0.5970138947501066,0.22344444444444442,0.1118888888888889,0.664611111111111,0.23859006255826257,0.3040581108065126,18,Safe House,safe_house_2025_2
2.625,3.0,1.5562374497485916,20,"{""5.0"": 3, ""4.0"": 2, ""3.0"": 2, ""1.5"": 2, ""3.5"": 4, ""0.5"": 3, ""2.0"": 1, ""1.0"": 3}",0.20963000000000004,0.5876334249342867,0.1497,0.06845000000000001,0.7819499999999999,0.1711162614267453,0.2715584964138424,20,First Kill,orphan_first_kill
1.975,1.75,1.2295832627357937,20,"{""3.0"": 7, ""1.0"": 2, ""0.5"": 5, ""2.5"": 1, ""1.5"": 3, ""5.0"": 1, ""2.0"": 1}",0.09463999999999999,0.6241151916112923,0.1186,0.11910000000000001,0.7623,-0.04948883292633292,0.3366771992641278,20,Intrusion,intrusion_2021
4.25,4.5,0.9682458365518543,20,"{""4.5"": 6, ""4.0"": 6, ""5.0"": 6, ""0.5"": 1, ""3.5"": 1}",0.514005,0.509008783298481,0.24695,0.10169999999999998,0.6512999999999999,0.15810898707773707,0.2755855038902791,20,The Starling,the_starling
2.025,1.5,1.5530212490497353,20,"{""0.5"": 8, ""3.0"": 2, ""3.5"": 3, ""2.5"": 1, ""2.0"": 1, ""4.5"": 1, ""4.0"": 1, ""1.0"": 2, ""5.0"": 1}",0.052555000000000004,0.6198012451383105,0.18875,0.11155,0.69965,0.09733069064442218,0.2999729270766689,20,My Little Pony: A New Generation,my_little_pony_a_new_generation
