week,hours_viewed_sum,hours_viewed_mean,hours_viewed_std,hours_viewed_min,hours_viewed_max,weeks_in_top10_mean,ranking_nunique,avg_rating_mean,rating_std_mean,num_ratings_sum,vader_compound_mean_mean,vader_positive_mean_mean,vader_negative_mean_mean,textblob_polarity_mean_mean,num_reviews_with_text_sum,total_hours_next_week,hours_pct_change,engagement_decline,year,month,week_of_year,hours_lag_1,sentiment_lag_1,hours_lag_2,sentiment_lag_2,hours_lag_3,sentiment_lag_3,hours_lag_4,sentiment_lag_4,hours_ma_4week,sentiment_ma_4week
2022-06-26,212830000,21283000.0,15549148.636929719,8350000,53890000,4.1,10,3.2508426368952685,1.2968197172532623,179,0.31061823684210527,0.2134113157894737,0.0924907894736842,0.16871989276197558,199,169910000.0,-0.20166329934689659,1,2022,6,25,183880000.0,0.3829887368421053,182740000.0,0.3497182368421053,122450000.0,0.2721375,124250000.0,0.3628022222222222,175475000.0,0.328865677631579
2022-07-03,169910000,16991000.0,17154369.34946248,4530000,62640000,3.9,10,3.1523391812865498,1.254945541476416,179,0.32873081871345033,0.22726812865497076,0.09522309941520467,0.1621409117315299,179,163200000.0,-0.03949149549761639,0,2022,7,26,212830000.0,0.31061823684210527,183880000.0,0.3829887368421053,182740000.0,0.3497182368421053,122450000.0,0.2721375,187340000.0,0.3430140073099416
2022-07-10,163200000,16320000.0,9214451.210523127,7750000,33520000,4.6,10,3.6003846153846153,1.2215098158354922,193,0.3863125,0.24089115384615384,0.07875576923076924,0.20185380250611887,193,186130000.0,0.14050245098039216,0,2022,7,27,169910000.0,0.32873081871345033,212830000.0,0.31061823684210527,183880000.0,0.3829887368421053,182740000.0,0.3497182368421053,182455000.0,0.35216257309941523
2022-07-17,186130000,18613000.0,18937979.506213903,6170000,68110000,4.6,10,3.934061085972851,2.640016771732209,190,0.4026181842105263,0.2273758906882591,0.07368471659919028,0.1979397580092148,192,210090000.0,0.12872723365389782,0,2022,7,28,163200000.0,0.3863125,169910000.0,0.32873081871345033,212830000.0,0.31061823684210527,183880000.0,0.3829887368421053,183017500.0,0.3570699349415205
2022-07-24,210090000,21009000.0,25750788.747359004,4610000,88550000,4.4,10,3.761176470588235,2.7206882357131104,197,0.3874941842105263,0.21483473684210525,0.08465394736842105,0.17261173662985607,199,215000000.0,0.023370936265410064,0,2022,7,29,186130000.0,0.4026181842105263,163200000.0,0.3863125,169910000.0,0.32873081871345033,212830000.0,0.31061823684210527,182332500.0,0.3762889217836257
2022-07-31,215000000,21500000.0,29527260.850497685,4090000,96470000,5.9,10,3.4274999999999998,1.3387220616707396,187,0.5117320000000001,0.2503942857142857,0.07092142857142857,0.24723952081503492,187,241070000.0,0.12125581395348838,0,2022,7,30,210090000.0,0.3874941842105263,186130000.0,0.4026181842105263,163200000.0,0.3863125,169910000.0,0.32873081871345033,193605000.0,0.42203921710526315
2022-08-07,241070000,24107000.0,29124397.199293625,7950000,102590000,4.4,10,3.5725000000000002,1.2700568093323334,200,0.474581,0.24711500000000003,0.076305,0.23329234800563964,200,214760000.0,-0.10913842452399718,1,2022,8,31,215000000.0,0.5117320000000001,210090000.0,0.3874941842105263,186130000.0,0.4026181842105263,163200000.0,0.3863125,213072500.0,0.4441063421052632
2022-08-14,214760000,21476000.0,16914277.466750458,7270000,56510000,4.6,10,3.4200000000000004,1.2037824211293762,200,0.389838,0.24044,0.09067,0.21413138465965326,200,244100000.0,0.13661761966846714,0,2022,8,32,241070000.0,0.474581,215000000.0,0.5117320000000001,210090000.0,0.3874941842105263,186130000.0,0.4026181842105263,220230000.0,0.4409112960526316
2022-08-21,244100000,24410000.0,19438112.619856443,6990000,63390000,3.9,10,3.312962962962963,1.2128085059626377,175,0.43544444444444447,0.22304074074074073,0.0765037037037037,0.20420277106820106,175,202160000.0,-0.17181482998770994,1,2022,8,33,214760000.0,0.389838,241070000.0,0.474581,215000000.0,0.5117320000000001,210090000.0,0.3874941842105263,228732500.0,0.4528988611111111
2022-08-28,202160000,20216000.0,15574507.80388688,10090000,59230000,3.0,10,3.1270723104056435,1.3417206802923753,157,0.2933177777777778,0.19735079365079364,0.09217301587301588,0.163195135941522,168,196170000.0,-0.029629996042738426,0,2022,8,34,244100000.0,0.43544444444444447,214760000.0,0.389838,241070000.0,0.474581,215000000.0,0.5117320000000001,225522500.0,0.3982953055555556
